seed,quality,skip_budget,human_model,natural_rank,excess,makespan_baseline_s,makespan_constrained_s,loss_s
16,good,0,follow_plan,2,2,25.5,23.2,-2.3
16,bad,2,follow_plan,5,3,25.5,25.5,-0.0
16,random,4,follow_plan,5,1,25.5,25.5,-0.0
17,bad,0,follow_plan,3,3,25.8,24.2,-1.6
17,random,2,follow_plan,3,1,25.8,25.8,-0.0
0,good,2,follow_plan,2,0,23.4,23.4,-0.0
0,bad,4,follow_plan,4,0,23.4,23.4,-0.0
1,good,0,follow_plan,2,2,22.3,22.3,-0.0
1,bad,2,follow_plan,6,4,22.3,24.8,2.5
1,random,4,follow_plan,2,0,22.3,22.3,-0.0
2,bad,0,follow_plan,4,4,22.4,23.0,0.6
2,random,2,follow_plan,1,0,22.4,22.4,-0.0
3,good,4,follow_plan,1,0,61.2,61.2,-0.0
3,random,0,follow_plan,1,1,61.2,27.2,-34.0
4,good,2,follow_plan,1,0,25.3,25.3,-0.0
4,bad,4,follow_plan,4,0,25.3,23.5,-1.8
5,good,0,follow_plan,1,1,61.2,28.9,-32.3
5,bad,2,follow_plan,4,2,61.2,22.6,-38.6
5,random,4,follow_plan,1,0,61.2,61.2,-0.0
6,bad,0,follow_plan,4,4,26.5,28.9,2.4
6,random,2,follow_plan,4,2,26.5,27.8,1.3
7,good,4,follow_plan,1,0,26.4,25.3,-1.1
7,random,0,follow_plan,4,4,26.4,27.6,1.2
8,good,2,follow_plan,1,0,23.3,23.3,-0.0
8,bad,4,follow_plan,4,0,23.3,23.9,0.6
9,good,0,follow_plan,2,2,22.6,22.6,-0.0
9,bad,2,follow_plan,3,1,22.6,22.6,-0.0
9,random,4,follow_plan,2,0,22.6,22.6,-0.0
10,bad,0,follow_plan,5,5,23.8,24.1,0.3
10,random,2,follow_plan,3,1,23.8,23.1,-0.7
11,good,4,follow_plan,2,0,22.6,22.6,-0.0
11,random,0,follow_plan,1,1,22.6,22.6,-0.0
12,good,2,follow_plan,3,1,27.6,26.1,-1.5
12,bad,4,follow_plan,4,0,27.6,27.0,-0.6
13,good,0,follow_plan,3,3,27.9,25.8,-2.1
13,bad,2,follow_plan,6,4,27.9,26.8,-1.1
13,random,4,follow_plan,4,0,27.9,27.9,-0.0
14,bad,0,follow_plan,4,4,27.6,29.2,1.6
14,random,2,follow_plan,1,0,27.6,27.6,-0.0
15,good,4,follow_plan,2,0,25.8,25.8,-0.0
15,random,0,follow_plan,3,3,25.8,24.2,-1.6
16,good,2,follow_plan,2,0,25.5,25.5,-0.0
16,bad,4,follow_plan,5,1,25.5,25.5,-0.0
17,good,0,follow_plan,2,2,25.8,22.6,-3.2
17,bad,2,follow_plan,3,1,25.8,25.8,-0.0
17,random,4,follow_plan,3,0,25.8,25.8,-0.0
0,good,4,follow_plan,2,0,23.4,23.4,-0.0
0,random,0,follow_plan,4,4,23.4,23.0,-0.4
1,good,2,follow_plan,2,0,22.3,22.3,-0.0
1,bad,4,follow_plan,6,2,22.3,23.8,1.5
2,good,0,follow_plan,2,2,22.4,22.4,-0.0
2,bad,2,follow_plan,4,2,22.4,31.8,9.4
2,random,4,follow_plan,1,0,22.4,22.4,-0.0
3,bad,0,follow_plan,4,4,61.2,23.0,-38.2
3,random,2,follow_plan,1,0,61.2,61.2,-0.0
4,good,4,follow_plan,1,0,25.3,25.3,-0.0
4,random,0,follow_plan,2,2,25.3,25.3,-0.0
5,good,2,follow_plan,1,0,61.2,61.2,-0.0
5,bad,4,follow_plan,4,0,61.2,61.2,-0.0
6,good,0,follow_plan,1,1,26.5,27.2,0.7
6,bad,2,follow_plan,4,2,26.5,27.8,1.3
6,random,4,follow_plan,4,0,26.5,23.9,-2.6
7,bad,0,follow_plan,6,6,26.4,27.8,1.4
7,random,2,follow_plan,4,2,26.4,25.1,-1.3
8,good,4,follow_plan,1,0,23.3,27.8,4.5
8,random,0,follow_plan,4,4,23.3,28.8,5.5
9,good,2,follow_plan,2,0,22.6,22.6,-0.0
9,bad,4,follow_plan,3,0,22.6,22.6,-0.0
10,good,0,follow_plan,2,2,23.8,23.2,-0.6
10,bad,2,follow_plan,5,3,23.8,24.2,0.4
10,random,4,follow_plan,3,0,23.8,23.8,-0.0
11,bad,0,follow_plan,3,3,22.6,24.1,1.5
11,random,2,follow_plan,1,0,22.6,22.6,-0.0
12,good,4,follow_plan,3,0,27.6,26.3,-1.3
12,random,0,follow_plan,3,3,27.6,25.6,-2.0
13,good,2,follow_plan,3,1,27.9,26.6,-1.3
13,bad,4,follow_plan,6,2,27.9,26.9,-1.0
14,good,0,follow_plan,3,3,27.6,25.6,-2.0
14,bad,2,follow_plan,4,2,27.6,28.9,1.3
14,random,4,follow_plan,1,0,27.6,27.6,-0.0
15,bad,0,follow_plan,3,3,25.8,24.2,-1.6
15,random,2,follow_plan,3,1,25.8,25.8,-0.0
16,good,4,follow_plan,2,0,25.5,25.5,-0.0
16,random,0,follow_plan,5,5,25.5,24.1,-1.4
17,good,2,follow_plan,2,0,25.8,25.8,-0.0
17,bad,4,follow_plan,3,0,25.8,25.8,-0.0
0,bad,0,follow_plan,4,4,23.4,23.0,-0.4
0,random,2,follow_plan,4,2,23.4,22.3,-1.1
1,good,4,follow_plan,2,0,22.3,22.3,-0.0
1,random,0,follow_plan,2,2,22.3,22.3,-0.0
2,good,2,follow_plan,2,0,22.4,22.4,-0.0
2,bad,4,follow_plan,4,0,22.4,22.4,-0.0
3,good,0,follow_plan,1,1,61.2,27.2,-34.0
3,bad,2,follow_plan,4,2,61.2,40.5,-20.7
3,random,4,follow_plan,1,0,61.2,61.2,-0.0
4,bad,0,follow_plan,4,4,25.3,26.7,1.4
4,random,2,follow_plan,2,0,25.3,25.3,-0.0
5,good,4,follow_plan,1,0,61.2,61.2,-0.0
5,random,0,follow_plan,1,1,61.2,28.9,-32.3
6,good,2,follow_plan,1,0,26.5,26.5,-0.0
6,bad,4,follow_plan,4,0,26.5,23.9,-2.6
7,good,0,follow_plan,1,1,26.4,26.6,0.2
7,bad,2,follow_plan,6,4,26.4,26.6,0.2
7,random,4,follow_plan,4,0,26.4,27.1,0.7
8,bad,0,follow_plan,4,4,23.3,28.8,5.5
8,random,2,follow_plan,4,2,23.3,27.7,4.4
9,good,4,follow_plan,2,0,22.6,22.6,-0.0
9,random,0,follow_plan,2,2,22.6,22.6,-0.0
10,good,2,follow_plan,2,0,23.8,23.8,-0.0
10,bad,4,follow_plan,5,1,23.8,23.0,-0.8
11,good,0,follow_plan,2,2,22.6,22.6,-0.0
11,bad,2,follow_plan,3,1,22.6,22.6,-0.0
11,random,4,follow_plan,1,0,22.6,22.6,-0.0
12,bad,0,follow_plan,4,4,27.6,29.3,1.7
12,random,2,follow_plan,3,1,27.6,26.1,-1.5
13,good,4,follow_plan,3,0,27.9,26.6,-1.3
13,random,0,follow_plan,4,4,27.9,28.2,0.3
14,good,2,follow_plan,3,1,27.6,26.1,-1.5
14,bad,4,follow_plan,4,0,27.6,27.0,-0.6
15,good,0,follow_plan,2,2,25.8,22.6,-3.2
15,bad,2,follow_plan,3,1,25.8,25.8,-0.0
15,random,4,follow_plan,3,0,25.8,25.8,-0.0
16,bad,0,follow_plan,5,5,25.5,24.1,-1.4
16,random,2,follow_plan,5,3,25.5,25.5,-0.0
17,good,4,follow_plan,2,0,25.8,25.8,-0.0
17,random,0,follow_plan,3,3,25.8,24.2,-1.6
0,good,0,greedy,2,2,39.9,39.9,-0.0
0,bad,2,greedy,4,2,39.9,39.9,-0.0
0,random,4,greedy,4,0,39.9,39.9,-0.0
1,bad,0,greedy,6,6,25.6,28.3,2.7
1,random,2,greedy,2,0,25.6,25.6,-0.0
2,good,4,greedy,2,0,39.9,39.9,-0.0
2,random,0,greedy,1,1,39.9,39.9,-0.0
3,good,2,greedy,1,0,48.1,48.1,-0.0
3,bad,4,greedy,4,0,48.1,48.1,-0.0
4,good,0,greedy,1,1,23.9,31.1,7.2
4,bad,2,greedy,4,2,23.9,23.4,-0.5
4,random,4,greedy,2,0,23.9,23.9,-0.0
5,bad,0,greedy,4,4,48.1,26.1,-22.0
5,random,2,greedy,1,0,48.1,48.1,-0.0
6,good,4,greedy,1,0,38.8,38.8,-0.0
6,random,0,greedy,4,4,38.8,32.7,-6.1
7,good,2,greedy,1,0,39.6,39.6,-0.0
7,bad,4,greedy,6,2,39.6,40.5,0.9
8,good,0,greedy,1,1,38.8,38.8,-0.0
8,bad,2,greedy,4,2,38.8,25.5,-13.3
8,random,4,greedy,4,0,38.8,38.8,-0.0
9,bad,0,greedy,3,3,30.2,39.7,9.5
9,random,2,greedy,2,0,30.2,30.2,-0.0
10,good,4,greedy,2,0,26.3,26.3,-0.0
10,random,0,greedy,3,3,26.3,40.7,14.4
11,good,2,greedy,2,0,30.2,30.2,-0.0
11,bad,4,greedy,3,0,30.2,30.2,-0.0
12,good,0,greedy,3,3,39.2,26.3,-12.9
12,bad,2,greedy,4,2,39.2,34.3,-4.9
12,random,4,greedy,3,0,39.2,39.2,-0.0
13,bad,0,greedy,6,6,39.4,41.4,2.0
13,random,2,greedy,4,2,39.4,29.8,-9.6
14,good,4,greedy,3,0,39.2,39.2,-0.0
14,random,0,greedy,1,1,39.2,39.2,-0.0
15,good,2,greedy,2,0,30.2,30.2,-0.0
15,bad,4,greedy,3,0,30.2,30.2,-0.0
16,good,0,greedy,2,2,26.1,40.1,14.0
16,bad,2,greedy,5,3,26.1,26.1,-0.0
16,random,4,greedy,5,1,26.1,26.1,-0.0
17,bad,0,greedy,3,3,30.2,39.7,9.5
17,random,2,greedy,3,1,30.2,30.2,-0.0
0,good,2,greedy,2,0,39.9,39.9,-0.0
0,bad,4,greedy,4,0,39.9,39.9,-0.0
1,good,0,greedy,2,2,25.6,25.6,-0.0
1,bad,2,greedy,6,4,25.6,34.8,9.2
1,random,4,greedy,2,0,25.6,25.6,-0.0
2,bad,0,greedy,4,4,39.9,42.3,2.4
2,random,2,greedy,1,0,39.9,39.9,-0.0
3,good,4,greedy,1,0,48.1,48.1,-0.0
3,random,0,greedy,1,1,48.1,24.1,-24.0
4,good,2,greedy,1,0,23.9,23.9,-0.0
4,bad,4,greedy,4,0,23.9,23.4,-0.5
5,good,0,greedy,1,1,48.1,24.3,-23.8
5,bad,2,greedy,4,2,48.1,24.3,-23.8
5,random,4,greedy,1,0,48.1,48.1,-0.0
6,bad,0,greedy,4,4,38.8,32.7,-6.1
6,random,2,greedy,4,2,38.8,25.5,-13.3
7,good,4,greedy,1,0,39.6,39.6,-0.0
7,random,0,greedy,4,4,39.6,40.2,0.6
8,good,2,greedy,1,0,38.8,38.8,-0.0
8,bad,4,greedy,4,0,38.8,38.8,-0.0
9,good,0,greedy,2,2,30.2,34.1,3.9
9,bad,2,greedy,3,1,30.2,30.2,-0.0
9,random,4,greedy,2,0,30.2,30.2,-0.0
10,bad,0,greedy,5,5,26.3,30.4,4.1
10,random,2,greedy,3,1,26.3,39.3,13.0
11,good,4,greedy,2,0,30.2,30.2,-0.0
11,random,0,greedy,1,1,30.2,30.2,-0.0
12,good,2,greedy,3,1,39.2,39.2,-0.0
12,bad,4,greedy,4,0,39.2,39.2,-0.0
13,good,0,greedy,3,3,39.4,26.0,-13.4
13,bad,2,greedy,6,4,39.4,30.3,-9.1
13,random,4,greedy,4,0,39.4,39.4,-0.0
14,bad,0,greedy,4,4,39.2,32.9,-6.3
14,random,2,greedy,1,0,39.2,39.2,-0.0
15,good,4,greedy,2,0,30.2,30.2,-0.0
15,random,0,greedy,3,3,30.2,39.7,9.5
16,good,2,greedy,2,0,26.1,26.1,-0.0
16,bad,4,greedy,5,1,26.1,26.1,-0.0
17,good,0,greedy,2,2,30.2,34.1,3.9
17,bad,2,greedy,3,1,30.2,30.2,-0.0
17,random,4,greedy,3,0,30.2,30.2,-0.0
0,good,4,greedy,2,0,39.9,39.9,-0.0
0,random,0,greedy,4,4,39.9,42.3,2.4
1,good,2,greedy,2,0,25.6,25.6,-0.0
1,bad,4,greedy,6,2,25.6,25.8,0.2
2,good,0,greedy,2,2,39.9,39.9,-0.0
2,bad,2,greedy,4,2,39.9,35.7,-4.2
2,random,4,greedy,1,0,39.9,39.9,-0.0
3,bad,0,greedy,4,4,48.1,26.1,-22.0
3,random,2,greedy,1,0,48.1,48.1,-0.0
4,good,4,greedy,1,0,23.9,23.9,-0.0
4,random,0,greedy,2,2,23.9,23.9,-0.0
5,good,2,greedy,1,0,48.1,48.1,-0.0
5,bad,4,greedy,4,0,48.1,48.1,-0.0
6,good,0,greedy,1,1,38.8,38.8,-0.0
6,bad,2,greedy,4,2,38.8,25.5,-13.3
6,random,4,greedy,4,0,38.8,38.8,-0.0
7,bad,0,greedy,6,6,39.6,41.1,1.5
7,random,2,greedy,4,2,39.6,25.2,-14.4
8,good,4,greedy,1,0,38.8,38.8,-0.0
8,random,0,greedy,4,4,38.8,32.7,-6.1
9,good,2,greedy,2,0,30.2,30.2,-0.0
9,bad,4,greedy,3,0,30.2,30.2,-0.0
10,good,0,greedy,2,2,26.3,40.1,13.8
10,bad,2,greedy,5,3,26.3,39.5,13.2
10,random,4,greedy,3,0,26.3,26.3,-0.0
11,bad,0,greedy,3,3,30.2,39.7,9.5
11,random,2,greedy,1,0,30.2,30.2,-0.0
12,good,4,greedy,3,0,39.2,39.2,-0.0
12,random,0,greedy,3,3,39.2,26.3,-12.9
13,good,2,greedy,3,1,39.4,39.4,-0.0
13,bad,4,greedy,6,2,39.4,39.4,-0.0
14,good,0,greedy,3,3,39.2,26.3,-12.9
14,bad,2,greedy,4,2,39.2,39.7,0.5
14,random,4,greedy,1,0,39.2,39.2,-0.0
15,bad,0,greedy,3,3,30.2,39.7,9.5
15,random,2,greedy,3,1,30.2,30.2,-0.0
16,good,4,greedy,2,0,26.1,26.1,-0.0
16,random,0,greedy,5,5,26.1,30.4,4.3
17,good,2,greedy,2,0,30.2,30.2,-0.0
17,bad,4,greedy,3,0,30.2,30.2,-0.0
0,bad,0,greedy,4,4,39.9,42.3,2.4
0,random,2,greedy,4,2,39.9,39.9,-0.0
1,good,4,greedy,2,0,25.6,25.6,-0.0
1,random,0,greedy,2,2,25.6,25.6,-0.0
2,good,2,greedy,2,0,39.9,39.9,-0.0
2,bad,4,greedy,4,0,39.9,39.9,-0.0
3,good,0,greedy,1,1,48.1,24.1,-24.0
3,bad,2,greedy,4,2,48.1,39.3,-8.8
3,random,4,greedy,1,0,48.1,48.1,-0.0
4,bad,0,greedy,4,4,23.9,26.3,2.4
4,random,2,greedy,2,0,23.9,23.9,-0.0
5,good,4,greedy,1,0,48.1,48.1,-0.0
5,random,0,greedy,1,1,48.1,24.3,-23.8
6,good,2,greedy,1,0,38.8,38.8,-0.0
6,bad,4,greedy,4,0,38.8,38.8,-0.0
7,good,0,greedy,1,1,39.6,39.6,-0.0
7,bad,2,greedy,6,4,39.6,25.7,-13.9
7,random,4,greedy,4,0,39.6,40.5,0.9
8,bad,0,greedy,4,4,38.8,32.7,-6.1
8,random,2,greedy,4,2,38.8,25.5,-13.3
9,good,4,greedy,2,0,30.2,30.2,-0.0
9,random,0,greedy,2,2,30.2,34.1,3.9
10,good,2,greedy,2,0,26.3,26.3,-0.0
10,bad,4,greedy,5,1,26.3,39.3,13.0
11,good,0,greedy,2,2,30.2,34.1,3.9
11,bad,2,greedy,3,1,30.2,30.2,-0.0
11,random,4,greedy,1,0,30.2,30.2,-0.0
12,bad,0,greedy,4,4,39.2,32.9,-6.3
12,random,2,greedy,3,1,39.2,39.2,-0.0
13,good,4,greedy,3,0,39.4,39.4,-0.0
13,random,0,greedy,4,4,39.4,40.2,0.8
14,good,2,greedy,3,1,39.2,39.2,-0.0
14,bad,4,greedy,4,0,39.2,39.2,-0.0
15,good,0,greedy,2,2,30.2,34.1,3.9
15,bad,2,greedy,3,1,30.2,30.2,-0.0
15,random,4,greedy,3,0,30.2,30.2,-0.0
16,bad,0,greedy,5,5,26.1,30.4,4.3
16,random,2,greedy,5,3,26.1,26.1,-0.0
17,good,4,greedy,2,0,30.2,30.2,-0.0
17,random,0,greedy,3,3,30.2,39.7,9.5
